2018-05-06 10:40:27.197840: {'loss': 1.0665065, 'avg': 1.49, 'accuracy': 0.39, 'spare': 0.37, 'var': -1, 'steps': 10700}
2018-05-06 10:40:27.596101: {'loss': 1.0652399, 'avg': 1.49, 'accuracy': 0.4, 'spare': 0.36, 'var': -1, 'steps': 10800}
2018-05-06 10:40:28.041452: {'loss': 1.0653535, 'avg': 1.51, 'accuracy': 0.41, 'spare': 0.37, 'var': -1, 'steps': 10900}
2018-05-06 10:40:28.430455: {'loss': 1.0622814, 'avg': 1.49, 'accuracy': 0.39, 'spare': 0.36, 'var': -1, 'steps': 11000}
2018-05-06 10:40:28.835302: {'loss': 1.0608944, 'avg': 1.49, 'accuracy': 0.39, 'spare': 0.37, 'var': -1, 'steps': 11100}
2018-05-06 10:40:29.314580: {'loss': 1.059689, 'avg': 1.47, 'accuracy': 0.4, 'spare': 0.35, 'var': -1, 'steps': 11200}
2018-05-06 10:40:29.800219: {'loss': 1.0588013, 'avg': 1.48, 'accuracy': 0.39, 'spare': 0.35, 'var': -1, 'steps': 11300}
2018-05-06 10:40:30.256119: {'loss': 1.057879, 'avg': 1.48, 'accuracy': 0.41, 'spare': 0.35, 'var': -1, 'steps': 11400}
2018-05-06 10:40:30.724407: {'loss': 1.0585091, 'avg': 1.5, 'accuracy': 0.43, 'spare': 0.36, 'var': -1, 'steps': 11500}
2018-05-06 10:40:31.187529: {'loss': 1.0559299, 'avg': 1.47, 'accuracy': 0.41, 'spare': 0.35, 'var': -1, 'steps': 11600}
2018-05-06 10:40:31.710212: {'loss': 1.0552597, 'avg': 1.47, 'accuracy': 0.42, 'spare': 0.33999999999999997, 'var': -1, 'steps': 11700}
2018-05-06 10:40:32.220552: {'loss': 1.0547347, 'avg': 1.45, 'accuracy': 0.43, 'spare': 0.32999999999999996, 'var': -1, 'steps': 11800}
2018-05-06 10:40:32.711304: {'loss': 1.0543898, 'avg': 1.47, 'accuracy': 0.41, 'spare': 0.33999999999999997, 'var': -1, 'steps': 11900}
2018-05-06 10:40:33.227217: {'loss': 1.0537761, 'avg': 1.45, 'accuracy': 0.43, 'spare': 0.32999999999999996, 'var': -1, 'steps': 12000}
2018-05-06 10:40:33.710588: {'loss': 1.0536122, 'avg': 1.45, 'accuracy': 0.42, 'spare': 0.32999999999999996, 'var': -1, 'steps': 12100}
2018-05-06 10:40:34.163393: {'loss': 1.0547788, 'avg': 1.47, 'accuracy': 0.45, 'spare': 0.33999999999999997, 'var': -1, 'steps': 12200}
2018-05-06 10:40:34.621122: {'loss': 1.0534414, 'avg': 1.45, 'accuracy': 0.42, 'spare': 0.32999999999999996, 'var': -1, 'steps': 12300}
2018-05-06 10:40:35.084513: {'loss': 1.0532107, 'avg': 1.45, 'accuracy': 0.44, 'spare': 0.32999999999999996, 'var': -1, 'steps': 12400}
2018-05-06 10:40:35.503928: {'loss': 1.0528598, 'avg': 1.45, 'accuracy': 0.43, 'spare': 0.32999999999999996, 'var': -1, 'steps': 12500}
2018-05-06 10:40:35.876459: {'loss': 1.0527018, 'avg': 1.45, 'accuracy': 0.42, 'spare': 0.32999999999999996, 'var': -1, 'steps': 12600}
2018-05-06 10:40:36.268869: {'loss': 1.0529144, 'avg': 1.45, 'accuracy': 0.42, 'spare': 0.32999999999999996, 'var': -1, 'steps': 12700}
2018-05-06 10:40:36.663801: {'loss': 1.0520731, 'avg': 1.45, 'accuracy': 0.43, 'spare': 0.32999999999999996, 'var': -1, 'steps': 12800}
2018-05-06 10:40:37.090971: {'loss': 1.051763, 'avg': 1.44, 'accuracy': 0.43, 'spare': 0.31999999999999995, 'var': -1, 'steps': 12900}
2018-05-06 10:40:37.510242: {'loss': 1.0515038, 'avg': 1.44, 'accuracy': 0.43, 'spare': 0.32999999999999996, 'var': -1, 'steps': 13000}
2018-05-06 10:40:37.942885: {'loss': 1.051893, 'avg': 1.45, 'accuracy': 0.44, 'spare': 0.32999999999999996, 'var': -1, 'steps': 13100}
2018-05-06 10:40:38.316982: {'loss': 1.0510949, 'avg': 1.45, 'accuracy': 0.43, 'spare': 0.32999999999999996, 'var': -1, 'steps': 13200}
2018-05-06 10:40:38.686073: {'loss': 1.0508084, 'avg': 1.45, 'accuracy': 0.42, 'spare': 0.32999999999999996, 'var': -1, 'steps': 13300}
